source_id,title,source_type,tier,url_or_location,status,notes
S014,FIA Historic Database Cars List and HTP guidance,official FIA database guidance,1,https://historicdb.fia.com/cars/list,verified,"Primary FIA guidance that HTP event use requires an ASN-certified homologation form copy and that website forms are consultation-only."
S015,FIA Ford GT 40 Homologation Form No. 224 Group 4,official FIA homologation form,1,https://historicdb.fia.com/car/ford-gt-40,verified,"Primary FIA record for Ford GT 40 Recognition/Homologation No. 224 Group 4 and linked PDF research copy; local archive sources/archive/S015-fia-ford-gt40-homologation-224.pdf; event use still requires ASN-certified copy per S014."
S016,Hewland Classic LG500/LG600 manual,licensed component manufacturer manual,1,https://hewlandclassic.com/assets/manuals/LG500_LG600.pdf,verified,"Hewland Classic manual for LG500/LG600 transaxles; relevant to the S015 Hewland LG600 evolution only if the installed unit is verified as LG500/LG600 or directly compatible; local archive sources/archive/S016-hewland-lg500-lg600-manual.pdf."
S017,Hewland Classic historic gearbox support pages,licensed component support source,1,https://hewlandclassic.com/,verified,"Hewland Classic describes its licensed relationship with Hewland Engineering and support/spares coverage for classic Hewland gearboxes, including LG500 and LG600 pages; used to establish S016 source authority."
S018,Webcon UK official Weber distributor and IDA support pages,official distributor component support source,1,https://www.webcon.co.uk/,verified,"Official Weber distributor pages used for Weber IDA category, 46/48 IDA gasket/service/master rebuild kit evidence with product-code leads, and source-acquisition route for diagrams/manuals; does not verify installed carburetors or jetting."
S019,FIA Appendix K 2025 updated 2026,official current historic technical regulation,1,https://historicdb.fia.com/regulations/appendix-k,verified,"Current FIA Historic Database Appendix K listing and PDF used for modern historic-event safety and HTP context; local archive sources/archive/S019-fia-appendix-k-2025-updated-2026.pdf; applies from 2025 and is listed as updated 2026-01-01."
S020,The Henry Ford Ford Motorsports Records,official museum/archive collection record,2,https://www.thehenryford.org/collections/explore/archival/358309,verified,"Official archival collection record for Ford Motorsports Records; collection covers Ford racing/performance materials and includes 1957-1968 events/automobiles context, Le Mans keywording, and open research access; source-acquisition path only."
S021,The Henry Ford Dave Friedman Collection,official museum/archive collection record,2,https://www.thehenryford.org/collections/explore/archival/383107,verified,"Official archival collection record for Dave Friedman Collection; includes race photographs, documents, programs, car-detail files, press kits, and Ford GT40 / Le Mans / Dan Gurney keywords; source-acquisition path only."
S022,The Henry Ford Remote Research Services,official museum/archive research-services page,2,https://www.thehenryford.org/collections-and-research/services/remote/,verified,"Official remote research and duplication path for The Henry Ford/Benson Ford Research Center collections; useful for requesting S020/S021 materials, production records, part drawings, and page counts; not vehicle evidence by itself."
S023,24H Le Mans Winners and Records official track-record page,official race-history page,1,https://www.24h-lemans.com/en/track-record,verified,"Official 24H Le Mans / ACO all-time results and race-history source path; page payload exposes the palmares API used as S025 for the 1968 result row."
S024,Gurney-Weslake official homepage,official product/history page,2,https://www.gurney-weslake.co.uk/,verified,"Official Gurney-Weslake homepage used for cylinder-head development and identification context, including Mark I-IV development, GT40 race-head versus road-head boundary, and foundry/casting distinctions; not a service-settings source."
S025,24H Le Mans official palmares API - 1968 year result,official race-history API,1,https://api.lemans.org/api/palmares/year/1968?page=0&count=40,verified,"Official API endpoint used by the 24H Le Mans Winners and Records page; verifies the 1968 classified winning row for participant 9, JWA, Ford GT 40, Pedro Rodriguez, and Lucien Bianchi; does not expose engine displacement or lap count."
