fact_id,system,fact,applicability,label,source_ids,confidence,notes
F051,driveline,"The Hewland LG500/LG600 manual says selector-fork setup accuracy is critical and strongly recommends the Hewland setting jig.","LG500/LG600 shift-mechanism setup caution.",verified,"S016",high,"Do not adjust selectors casually or without suitable tooling."
F052,driveline,"The Hewland LG500/LG600 manual says the crown wheel and pinion are precision matched and should not be replaced separately.","LG500/LG600 final-drive service caution.",verified,"S016",high,"Relevant to inspection, parts ordering, and rebuild planning."
F053,induction,"Webcon identifies itself as an official Weber distributor and supplier of genuine Weber carburetors and spare parts.","Weber source-acquisition and component-support context.",verified,"S018",high,"Supports Webcon as a primary support path for Weber component identification and parts."
F054,induction,"Webcon provides a Weber diagrams area described as covering exploded diagrams, tuning/service manuals, and fitting instructions.","Weber documentation source-acquisition context.",verified,"S018",high,"Use to locate carburetor-specific diagrams/manuals after model identification."
F055,induction,"Webcon has a Weber IDA category and lists 46/48 IDA service, gasket, and master rebuild kit support.","Potentially applicable if the installed carburetors are verified as Weber IDA family.",verified,"S018",high,"Does not prove installed carburetors or provide GT40 jetting."
F056,induction,"Weber IDA service information is carburetor-model-specific and does not replace installed carburetor model, choke, jet stack, fuel pressure, linkage, and engine build evidence.","Induction settings governance.",verified,"S018",high,"Settings remain blocked until installed components and tune evidence are captured."
F057,brakes,"The Ford GT 40 No. 224 base form records hydraulic brake operation, but the inspected copy does not populate master-cylinder count, wheel-cylinder/caliper bore, disc diameter, disc thickness, pad/lining dimensions, pad count, or area values.","Brake evidence boundary.",verified,"S015",high,"S015 can guide inspection but cannot support brake bias, bedding, fluid, torque, caliper, or disc specifications."
F058,wheels_tires,"The Ford GT 40 No. 224 base form includes wheel fields for type, weight, method of attachment, rim diameter, and rim width, but the inspected copy does not populate those values.","Wheel evidence boundary.",verified,"S015",high,"Do not infer center-lock torque, rim size, wheel type, or tire pressure from S015."
F059,wheels_tires,"The Ford GT 40 No. 224 dimensions page notes that differences in track caused by use of other wheels with different rim widths must be stated when recognition is requested for those wheels.","Wheel/track configuration-control context.",verified,"S015",high,"Wheel changes affect track documentation and may affect legality/clearance; measure actual wheels and track."
F060,brakes_wheels_tires,"For this knowledge base, brake and wheel settings require installed hardware identification because S015 does not provide actionable brake dimensions, wheel attachment details, center-lock torque, or tire data.","Brake/wheel settings governance.",verified,"S015",high,"Settings remain blocked until component source and physical evidence are captured."
F061,fuel_oil_cooling,"The Ford GT 40 No. 224 base form includes a fuel-tank capacity field, but the inspected copy does not populate that value.","Fuel-system evidence boundary.",verified,"S015",high,"Do not infer tank/cell capacity, fuel volume, venting, or filler layout from S015."
F062,fuel_oil_cooling,"The Ford GT 40 No. 224 base engine page includes lubrication system, lubricant capacity, oil cooler, engine cooling, cooling-system capacity, and cooling fan fields, but the inspected copy does not populate actionable values for these systems.","Oil/cooling evidence boundary.",verified,"S015",high,"Do not infer dry-sump/wet-sump layout, oil capacity, oil-cooler configuration, coolant capacity, cooling method, or fan specification from S015."
F063,electrical,"The Ford GT 40 No. 224 base engine-accessories page includes fuel-pump, ignition, generator, and battery fields, but the inspected copy does not populate actionable values for these systems.","Electrical/accessory evidence boundary.",verified,"S015",high,"Do not infer fuel-pump type, ignition type, generator type/output, battery count/location, or battery voltage from S015."
F064,fuel_oil_cooling,"For this knowledge base, fuel, oil, and cooling settings require installed hardware identification because S015 does not provide actionable fuel capacity, pump, oil-system, oil-capacity, oil-cooler, cooling-system, fan, or hose data.","Fuel/oil/cooling settings governance.",verified,"S015",high,"Settings remain blocked until component source and physical evidence are captured."
F065,electrical,"For this knowledge base, electrical settings require installed harness and component identification because S015 does not provide actionable wiring, ignition, generator, battery, fuse, relay, or gauge/sender data.","Electrical settings governance.",verified,"S015",high,"Settings remain blocked until the installed electrical system is mapped."
F066,suspension_steering,"The Ford GT 40 No. 224 suspension page records front suspension type as independent with coil springs and rear suspension type as independent with coil springs.","Base GT40 suspension recognition data.",verified,"S015",high,"This confirms principle and spring type only; it does not provide geometry or setup values."
F067,suspension_steering,"The Ford GT 40 No. 224 suspension page includes stabiliser, shock-absorber count, and shock-absorber type fields for front and rear suspension, but the inspected copy does not populate those values.","Suspension evidence boundary.",verified,"S015",high,"Do not infer anti-roll bars, damper count, damper type, spring rate, ride height, or alignment settings from S015."
F068,suspension_steering,"The Ford GT 40 No. 224 chassis/coachwork page includes steering type, servo-assistance, lock-to-lock steering-wheel turns, and servo-assistance detail fields, but the inspected copy does not populate those values.","Steering evidence boundary.",verified,"S015",high,"Do not infer rack type, steering ratio, steering stops, bump steer, column layout, or servo-assistance from S015."
F069,engine,"The Ford GT 40 No. 224 base engine page records no cylinder sleeves fitted, 8 inlet ports, 8 exhaust ports, 57.12 mm / 2.249 in crankshaft main bearing diameter, and 53.92 mm / 2.123 in connecting-rod big-end bearing diameter.","Base 289 GT40 engine identification context.",verified,"S015",medium,"Use as homologation identity context only; it is not a clearance or rebuild instruction and does not identify the installed engine."
F070,engine,"The Ford GT 40 No. 224 four-stroke-engine page records one inlet valve and one exhaust valve per cylinder, but the inspected copy does not populate inlet/exhaust valve diameter, valve lift, spring, tappet-clearance, valve-timing, air-filter, carburetor, or injection values.","Engine and induction evidence boundary.",verified,"S015",high,"Do not infer valve sizes, cam timing, lash, carburetor model, jetting, or induction setup from S015."
F071,rules,"The FIA Historic Database lists Appendix K 2025 as updated on January 1, 2026, and the archived PDF states application from January 1, 2025 and updated on January 1, 2026.","Current historic-event regulatory context.",verified,"S019",high,"Re-check the FIA Appendix K page and event regulations before competition use."
F072,safety,"Appendix K requires historic competition cars to respect period specification while applying defined additional safety provisions, and it requires competitors to account for corrosion and ageing of components.","Current historic safety and originality context.",verified,"S019",high,"Use as an inspection gate; do not treat period appearance as proof of safe condition."
F073,electrical_instruments,"Appendix K requires battery terminal short-circuit protection, prohibits lithium-based batteries, and requires cockpit batteries to be dry type, secure, and covered with an insulated leakproof cover.","Current historic electrical safety context.",verified,"S019",high,"Installed battery chemistry, location, hold-down, cover, cable routing, and isolation remain unverified."
F074,electrical_instruments,"Appendix K requires a spark-proof general circuit breaker that cuts electrical circuits except fire-extinguisher circuits and stops the engine, with inside and outside accessibility requirements.","Current historic master-switch safety context.",verified,"S019",high,"Installed master-switch type, location, markings, alternator/generator shutdown behavior, and fire-system exception remain unverified."
F075,fuel_oil_cooling,"Appendix K requires fuel and oil lines and brake cables to be protected externally against deterioration risk and internally against fire risk.","Current historic fuel/oil/brake-line safety context.",verified,"S019",high,"Installed line material, routing, bulkhead penetrations, heat shielding, clips, and age remain unverified."
F076,fuel_oil_cooling,"For Period F to K cars, Appendix K sets a fuel-tank safety-foam or D-Stop anti-explosion foil minimum unless period rules required a higher safety standard, and it says period or homologation maximum fuel capacity must not be exceeded.","Current historic fuel-tank safety context.",verified,"S019",high,"Installed tank/cell type, foam condition, capacity, certification date, and HTP period classification remain unverified."
F077,fuel_oil_cooling,"Appendix K requires protruding quick-release Monza-type fuel caps to have a secondary opening-prevention device and requires non-metallic pressurized fuel lines to be fire/fuel resistant, with 100 psi minimum burst pressure for non-injected cars.","Current historic fuel-filler and line safety context.",verified,"S019",high,"Installed filler caps, necks, check valves, fuel-line material, fittings, and pressure rating remain unverified."
F078,safety,"Appendix K requires fireproof bulkheads from Period F onward and at least one hand-operated fire extinguisher complying with current Appendix J Article 253-7.3 for cars in all competitions.","Current historic fire-safety context.",verified,"S019",high,"Installed bulkheads, extinguisher type/date/capacity/mounting, and event fire-system requirements remain unverified."
F079,fuel_oil_cooling,"Appendix K requires oil catch tanks outside rallies: 2 litres minimum up to 2 litres engine capacity and 3 litres minimum above 2 litres, unless original closed-circuit breathing is retained.","Current historic oil containment context.",verified,"S019",high,"Installed breather/catch system and retained closed-breathing status remain unverified."
F080,safety,"Appendix K requires Period F-onward two-seat racing cars to use FIA 8853/98 or 8853-2016 harnesses; belts must not anchor to seats or seat supports and must be replaced after severe collision, webbing damage/degradation, metal/buckle deformation/rust, or imperfect function.","Current historic harness safety context.",verified,"S019",high,"Installed belt standard, age/date, routing, anchorages, seat interaction, and condition remain unverified."
F081,electrical_instruments,"Appendix K requires a rear-facing red warning light at race start, mounted near the vehicle centreline or as an allowed pair on full-width bodywork, driver-switchable, securely attached, and at least 21 W incandescent or equivalent LED output.","Current historic rear-warning-light context.",verified,"S019",high,"Installed rear warning light location, output, switch, wiring, and visibility remain unverified."
F082,rules,"The Ford GT 40 No. 224 form states that, for Group 4 Sportscars, only a defined set of recognition-form item numbers and photographs are to be considered during scrutineering.","Homologation source-scope control for Group 4 use.",verified,"S015",high,"Use the form as recognition evidence; do not treat blank or out-of-scope fields as hidden service settings."
F083,engine,"The Ford GT 40 No. 224 Weslake-head amendment includes photographs of the engine unit from right and left with clutch and accessories but without air filter or gearbox, plus a combustion-chamber/valve photograph.","Visual identification context for the 1968 Weslake aluminium head variant.",verified,"S015",medium,"Visual similarity is not enough to prove installed head identity; still require marks, dimensions, and records."
F084,engine,"The Ford GT 40 No. 224 302 evolution amendment records capacity per cylinder as 617.77 cm³ / 37.75 cu in.","1968 302 GT40 engine configuration context.",verified,"S015",high,"Homologation value only; not a machining clearance, compression value, or installed-engine measurement."
F085,driveline,"The Ford GT 40 No. 224 gearbox / limited-slip evolution amendment includes a photograph of the Hewland LG600 gearbox and records Ford H/D limited-slip differential part number CDH4204A.","Visual identification context for the 1968 GT40 driveline evolution.",verified,"S015",medium,"The installed transaxle and differential still require physical identification before service settings."
F086,induction,"Webcon's Literature category exposes calibration sheets, exploded diagrams, fitting instructions, service manuals, tuning manuals, and Weber setting instructions.","Weber documentation source-acquisition context.",verified,"S018",high,"Use after installed carburetor model is identified; literature categories do not prove GT40 jetting."
F087,induction,"Webcon's Weber IDA service-kit category lists 46/48 IDA minor gasket set product code 9200340500, 46/48 IDA twin-barrel carburettor service kit product code 9216320500, and 46/48 IDA twin-barrel master rebuild kit product code 9210500500.","Weber IDA parts-source context.",verified,"S018",high,"Ordering applicability still depends on confirmed installed carburetor body, variant, and condition."
F088,induction,"Webcon's Weber IDA gasket/parts category lists 48 IDA top-cover gasket product code 4170502100 and 48 IDA / 48 IDF base-gasket and heat-insulating-spacer listings.","Weber IDA parts-source context.",verified,"S018",high,"These are parts leads only; do not infer carburetor model, spacer thickness, or tuning setup."
F089,wheels_tires,"The Ford GT 40 No. 224 wheel section contains items 50 through 54 for wheel type, per-wheel weight without tyre, method of attachment, rim diameter, and rim width, but the inspected copy leaves those fields blank.","Wheel evidence boundary.",verified,"S015",high,"Use these item numbers as capture prompts; do not infer wire wheel, center-lock, rim size, offset, or torque from photographs."
F090,brakes_wheels_tires,"The Ford GT 40 No. 224 brake section identifies photographs F and G as brake photographs and item 90 as hydraulic brake operation; items 91 through 105 cover servo-assistance, master-cylinder count, cylinder count per wheel, bores, drum/disc dimensions, lining/pad dimensions, pad count, and area, but the inspected copy leaves those values blank.","Brake evidence boundary.",verified,"S015",high,"Use item numbers 91-105 as inspection prompts; do not infer calipers, discs, pad dimensions, master-cylinder count, or brake bias."
F091,brakes_wheels_tires,"The Ford GT 40 No. 224 photograph sheet includes front and rear axle/suspension views and close-up hub/brake assembly photographs.","Visual inspection context for brakes, hubs, and suspension.",verified,"S015",medium,"Photographs are comparison aids only; installed hardware still requires markings, measurements, and component documentation."
F092,fuel_oil_cooling,"The Ford GT 40 No. 224 capacities-and-dimensions page includes item 7 for fuel-tank capacity including reserve, but the inspected copy leaves the value blank.","Fuel-system evidence boundary.",verified,"S015",high,"Use item 7 as a capture prompt; do not infer tank or cell capacity from S015."
F093,fuel_oil_cooling,"The Ford GT 40 No. 224 engine page includes items 151 through 157 for lubrication system, lubricant capacity, oil cooler, engine cooling method, cooling-system capacity, cooling-fan diameter, and cooling-fan blade count, but the inspected copy leaves those values blank.","Oil and cooling evidence boundary.",verified,"S015",high,"Use items 151-157 as capture prompts; do not infer dry-sump/wet-sump layout, oil fill, cooler, coolant capacity, or fan specification from S015."
F094,fuel_oil_cooling,"The Ford GT 40 No. 224 engine-accessories page includes item 230 for fuel pump type and item 231 for number fitted, but the inspected copy leaves those values blank.","Fuel-delivery evidence boundary.",verified,"S015",high,"Use items 230-231 as capture prompts; do not infer mechanical/electric pump type, pump count, fuel pressure, or wiring from S015."
F095,electrical_instruments,"The Ford GT 40 No. 224 engine-accessories page includes items 232 through 235 for ignition-system type, number of distributors, number of ignition coils, and number of spark plugs per cylinder, but the inspected copy leaves those values blank.","Ignition evidence boundary.",verified,"S015",high,"Use items 232-235 as capture prompts; do not infer distributor type/count, coils, plug count, ignition curve, plug type, or plug gap from S015."
F096,electrical_instruments,"The Ford GT 40 No. 224 engine-accessories page includes items 236 through 241 for generator type/count, generator drive method, generator voltage, battery count, battery location, and battery voltage, but the inspected copy leaves those values blank.","Charging and battery evidence boundary.",verified,"S015",high,"Use items 236-241 as capture prompts; do not infer alternator/dynamo type, charging output, battery count/location/voltage, fuse values, or cable layout from S015."
F097,suspension_steering,"The Ford GT 40 No. 224 front-suspension section records item 70 as independent suspension and item 71 as coil spring, while items 72 through 74 for stabiliser, number of shock absorbers, and shock-absorber type are blank in the inspected copy.","Front suspension item-number evidence boundary.",verified,"S015",high,"Use items 70-74 as front-suspension capture prompts; do not infer anti-roll-bar, damper count/type, spring rate, ride height, or alignment settings from S015."
F098,suspension_steering,"The Ford GT 40 No. 224 rear-suspension section records item 78 as independent suspension and item 79 as coil spring, while items 80 through 82 for stabiliser, number of shock absorbers, and shock-absorber type are blank in the inspected copy.","Rear suspension item-number evidence boundary.",verified,"S015",high,"Use items 78-82 as rear-suspension capture prompts; do not infer anti-roll-bar, damper count/type, spring rate, ride height, or alignment settings from S015."
F099,suspension_steering,"The Ford GT 40 No. 224 chassis/coachwork page includes steering items 60 through 63 for steering type, servo-assistance, steering-wheel turns lock-to-lock, and servo-assistance detail, but the inspected copy leaves those fields blank.","Steering item-number evidence boundary.",verified,"S015",high,"Use items 60-63 as steering capture prompts; do not infer rack type, steering ratio, steering stops, bump steer, column layout, or servo-assistance from S015."
F100,sources,"The Henry Ford's Ford Motorsports Records collection includes Ford racing and performance-testing correspondence, press releases, textual materials, photographs, proof sheets, and negatives; the collection is open for research and is credited as a gift of Ford Motor Company.","Ford motorsports archive acquisition path.",verified,"S020",high,"Use as a targeted source-acquisition path for period Ford GT40 and Le Mans materials; do not treat the collection record itself as a service specification."
F101,sources,"The Henry Ford's Ford Motorsports Records collection covers 1957-1968 Ford-Lincoln-Mercury involvement in races, durability runs, and rallies, and includes keywords for 24 Hours of Le Mans, Ford Motor Company, Dan Gurney, motorsports, and sports cars.","Ford GT40 period-context archive lead.",verified,"S020",medium,"Request specific GT40/Le Mans/Ford performance materials before extracting any vehicle or component claim."
F102,sources,"The Henry Ford's Dave Friedman Collection includes racing photographs, slides, negatives, documents, programs, and published material; its scope includes race files with entrant lists, car details, programs, press kits, and published materials, plus material related to Ford Motor Company, Shelby-American International, and Dan Gurney's All-American Racers.","Dave Friedman racing archive acquisition path.",verified,"S021",high,"Use as an acquisition path for visual and race-context GT40 evidence; photographs remain comparison aids unless linked to identified components and records."
F103,sources,"The Dave Friedman Collection is open for research, includes a downloadable finding aid, and carries keywords including 24 Hours of Le Mans, 24 Hours of Daytona, Shelby-American Inc., Dan Gurney, Ford GT40 automobile, and sports car racing.","Dave Friedman GT40/Le Mans archive lead.",verified,"S021",medium,"Use the finding aid to target specific GT40 files before adding any configuration or race-context facts."
F104,sources,"The Henry Ford Remote Research Services page says the Benson Ford Research Center offers fee-based remote research for off-site researchers into archival, library, and some artifact collections, plus duplication paths including document, production-record, digital-image, audiovisual, and part-drawing order forms.","Remote archive research and duplication path.",verified,"S022",high,"Use to request S020/S021 material and possible production-record or part-drawing evidence; the research-service page itself does not prove any GT40 setting or component."
F105,sources,"The official 24H Le Mans track-record page is the canonical online path for winners, records, lap records, and race results across editions, with page metadata describing it as official all-time race history since 1923.","Official ACO/24H Le Mans race-history source path.",verified,"S023",high,"Use S023 as the first online official source path for Le Mans result verification; extract a specific edition row or inspect an ACO-licensed volume before promoting 1968 GT40 result details."
F106,history,"Static HTML extraction of the official 24H Le Mans track-record page did not expose 1968, Rodriguez, Bianchi, Ford, or GT40 text; route inspection identified the official palmares API captured as S025.","Race-result verification boundary.",verified,"S023;S025;S013",high,"Use S025 for verified core winner-row fields; keep S013 engine, lap-count, chassis, and preparation details lead-only until stronger direct evidence is captured."
